date,pm25,pm10,o3,no2,so2,co
2022-10-01,72.0,32.0,6.0,2.0,2.0,6.0
2022-10-02,65.0,39.0,6.0,2.0,2.0,6.0
2022-10-03,66.0,41.0,6.0,2.0,2.0,6.0
2022-10-04,67.0,39.0,6.0,2.0,2.0,6.0
2022-10-05,70.0,43.0,6.0,2.0,2.0,6.0
2022-10-06,70.0,41.0,6.0,3.0,2.0,6.0
2022-10-07,70.0,49.0,6.0,3.0,2.0,6.0
2022-10-08,70.0,47.0,6.0,3.0,2.0,6.0
2022-10-09,70.0,45.0,6.0,3.0,2.0,6.0
2022-10-10,70.0,25.0,6.0,3.0,2.0,6.0
2022-10-11,70.0,49.0,6.0,3.0,2.0,4.0
2022-10-12,72.46153846153847,24.0,6.0,3.0,3.0,4.0
2022-10-13,74.92307692307692,34.0,6.0,3.0,3.0,4.0
2022-10-14,77.38461538461539,42.0,6.0,2.0,2.0,4.0
2022-10-15,79.84615384615384,39.0,3.0,1.0,2.0,6.0
2022-10-16,82.3076923076923,39.875,3.0,1.125,2.125,6.0
2022-10-17,84.76923076923077,40.75,3.0,1.25,2.25,6.0
2022-10-18,87.23076923076923,41.625,3.0,1.375,2.375,6.0
2022-10-19,89.6923076923077,42.5,3.0,1.5,2.5,6.0
2022-10-20,92.15384615384616,43.375,3.0,1.625,2.625,6.0
2022-10-21,94.61538461538461,44.25,3.0,1.75,2.75,6.0
2022-10-22,97.07692307692307,45.125,3.0,1.875,2.875,6.0
2022-10-23,99.53846153846153,46.0,3.0,2.0,3.0,6.0
2022-10-24,102.0,121.0,8.0,2.0,3.0,7.0
2022-10-25,160.0,58.0,6.0,2.0,3.0,5.0
2022-10-26,125.0,52.0,7.0,1.0,3.0,5.0
2022-10-27,100.0,52.0,3.0,1.0,4.0,5.0
2022-10-28,128.0,50.0,4.0,1.0,3.0,5.0
2022-10-29,102.0,51.0,6.0,1.0,3.0,6.0
2022-10-30,109.0,55.0,5.0,1.0,3.0,5.0
2022-10-31,104.0,56.0,6.0,1.0,2.0,5.0
2022-11-01,111.0,44.0,7.0,1.0,2.0,5.0
2022-11-02,74.0,39.0,4.0,1.0,2.0,5.0
2022-11-03,87.0,42.0,6.0,1.0,2.0,5.0
2022-11-04,82.0,41.0,5.0,1.0,2.0,6.0
2022-11-05,85.0,41.0,6.0,1.0,2.0,6.0
2022-11-06,102.0,46.0,5.0,1.0,2.0,5.0
2022-11-07,125.0,46.0,7.0,1.0,2.0,4.0
2022-11-08,127.0,48.0,7.0,1.0,2.0,4.0
2022-11-09,129.0,46.0,6.0,1.0,2.0,5.0
2022-11-10,117.0,41.0,7.0,1.0,2.0,4.0
2022-11-11,105.0,42.0,6.0,1.0,2.0,5.0
2022-11-12,87.0,37.5,6.0,1.0,2.0,5.0
2022-11-13,82.5,33.0,4.0,1.0,2.0,5.0
2022-11-14,78.0,37.0,7.0,1.0,2.0,4.0
2022-11-15,100.0,45.0,6.0,1.0,1.0,4.0
2022-11-16,98.0,51.0,4.0,1.0,2.0,4.0
2022-11-17,110.0,46.0,4.0,1.0,2.0,5.0
2022-11-18,100.0,48.0,8.0,1.0,2.0,3.0
2022-11-19,103.0,48.0,8.0,1.0,2.0,4.0
2022-11-20,106.0,52.0,5.0,1.0,2.0,4.0
2022-11-21,100.0,54.0,4.0,1.0,2.0,4.0
2022-11-22,102.0,55.0,6.0,1.0,2.0,4.0
2022-11-23,107.0,57.0,7.0,1.0,2.0,5.0
2022-11-24,113.0,52.0,5.0,1.0,1.0,5.0
2022-11-25,116.0,54.0,8.0,1.0,1.0,4.0
2022-11-26,110.0,52.0,9.0,1.0,1.0,4.0
2022-11-27,103.0,49.0,7.0,1.0,3.0,5.0
2022-11-28,112.0,44.0,4.0,1.0,2.0,4.0
2022-11-29,91.0,73.0,7.0,1.0,3.0,5.0
2022-11-30,151.0,53.0,6.0,1.0,2.0,5.0
2022-12-01,140.0,41.0,6.0,1.0,1.0,4.0
2022-12-02,108.0,44.0,5.0,1.0,2.0,5.0
2022-12-03,101.0,57.0,6.0,1.0,2.0,4.0
2022-12-04,130.0,66.0,8.0,1.0,2.0,5.0
2022-12-05,144.0,54.0,5.0,1.0,3.0,4.0
2022-12-06,118.0,52.0,5.0,1.0,3.0,5.0
2022-12-07,109.0,50.0,7.0,1.0,2.0,5.0
2022-12-08,95.0,56.0,6.0,1.0,2.0,5.0
2022-12-09,108.0,50.0,3.0,1.0,2.0,4.0
2022-12-10,95.0,48.0,1.0,1.0,2.0,6.0
2022-12-11,90.0,57.0,4.0,1.0,2.0,5.0
2022-12-12,121.0,51.0,7.0,1.0,3.0,6.0
2022-12-13,111.0,45.0,7.0,1.0,2.0,6.0
2022-12-14,90.0,51.0,8.0,1.0,2.0,5.0
2022-12-15,120.0,50.0,8.0,1.0,3.0,6.0
2022-12-16,124.0,48.0,5.0,1.0,3.0,5.0
2022-12-17,108.0,44.0,3.0,1.0,4.0,6.0
2022-12-18,89.0,60.0,6.0,1.0,4.0,7.0
2022-12-19,132.0,50.0,8.0,1.0,3.0,6.0
2022-12-20,112.0,52.5,7.5,1.0,3.0,5.5
2022-12-21,119.0,55.0,7.0,1.0,3.0,5.0
2022-12-22,126.0,53.0,7.0,1.0,3.0,5.0
2022-12-23,96.0,52.0,7.0,1.0,3.0,6.0
2022-12-24,120.0,49.0,5.0,1.0,2.0,6.0
2022-12-25,89.0,45.0,4.0,1.0,2.0,6.0
2022-12-26,101.0,49.0,6.0,1.0,2.0,5.0
2022-12-27,117.0,47.0,5.0,1.0,3.0,6.0
2022-12-28,92.0,54.0,4.0,1.0,2.0,5.0
2022-12-29,108.0,57.0,8.0,1.0,2.0,5.0
2022-12-30,123.0,56.0,4.0,1.0,3.0,6.0
2022-12-31,118.0,57.0,6.0,1.0,3.0,6.0
2023-01-01,120.0,67.0,6.0,1.0,2.0,6.0
2023-01-02,150.0,57.0,3.0,1.0,3.0,5.0
2023-01-03,126.0,60.0,7.0,1.0,3.0,5.0
2023-01-04,122.0,61.0,4.0,1.0,2.0,5.0
2023-01-05,142.0,67.0,4.0,1.0,4.0,9.0
2023-01-06,149.0,61.0,4.0,1.0,3.0,5.0
2023-01-07,140.0,63.0,5.0,1.0,2.0,6.0
2023-01-08,113.0,60.0,5.0,1.0,3.0,5.0
2023-01-09,95.0,63.0,5.0,1.0,2.0,6.0
2023-01-10,105.0,77.0,4.0,1.0,3.0,6.0
2023-01-11,138.0,59.0,4.0,1.0,3.0,6.0
2023-01-12,91.0,61.0,7.0,1.0,3.0,6.0
2023-01-13,110.0,55.0,6.0,1.0,3.0,5.0
2023-01-14,90.0,60.0,5.5,1.0,3.5,6.0
2023-01-15,114.0,65.0,5.0,1.0,4.0,7.0
2023-01-16,138.0,55.0,5.0,1.0,3.0,8.0
2023-01-17,97.0,55.0,5.0,1.0,3.0,6.0
2023-01-18,100.0,54.0,3.0,1.0,3.0,5.0
2023-01-19,97.0,71.0,3.0,1.0,3.0,6.0
2023-01-20,156.0,57.0,6.0,1.0,3.0,6.0
2023-01-21,112.0,54.0,3.0,1.0,2.0,6.0
2023-01-22,96.0,70.0,5.0,1.0,3.0,7.0
2023-01-23,170.0,56.0,6.0,1.0,2.0,6.0
2023-01-24,105.0,54.0,6.0,1.0,2.0,6.0
2023-01-25,99.0,55.0,5.0,1.0,3.0,5.0
2023-01-26,104.0,58.0,6.0,1.0,2.0,6.0
2023-01-27,115.0,75.0,6.0,1.0,3.0,6.0
2023-01-28,138.0,58.0,5.0,1.0,3.0,7.0
2023-01-29,115.0,60.0,6.0,1.0,3.0,6.0
2023-01-30,123.0,56.0,5.0,1.0,2.0,6.0
2023-01-31,105.0,58.0,5.0,1.0,3.0,7.0
2023-02-01,118.0,49.0,5.0,1.0,3.0,7.0
2023-02-02,98.0,47.0,9.0,1.0,3.0,6.0
