time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,31.4,19.9,0,17.4,60
02-01-2019,31.1,18,0,18.6,63
03-01-2019,32.6,19.6,0,16.8,65
04-01-2019,32.7,18.4,0,17.1,77
05-01-2019,31.4,18.2,0,18.2,85
06-01-2019,30.7,18,0,19.5,88
07-01-2019,30.5,19,0,16.9,89
08-01-2019,32.3,19.1,0,17.6,77
09-01-2019,31.9,19,0,18.7,81
10-01-2019,31.3,18.5,0,17.2,78
11-01-2019,30,18.5,0,18.2,90
12-01-2019,28.5,17.8,0,19.6,96
13-01-2019,29.6,18.4,0,18.5,98
14-01-2019,30.7,18.8,0,16.6,87
15-01-2019,32.9,18.6,0,17.7,80
16-01-2019,32.5,18.2,0,18.2,81
17-01-2019,31.9,19.5,0,18.1,80
18-01-2019,33.1,19.9,0,18.8,79
19-01-2019,30.3,20.2,0,19.4,73
20-01-2019,32.6,20.3,0,15.9,84
21-01-2019,29.9,18.7,0,15.8,80
22-01-2019,28.5,20.4,0,16.4,91
23-01-2019,29.2,20.7,0,24.3,85
24-01-2019,28.5,20.3,0,26.8,93
25-01-2019,27.8,19.1,0,19.6,87
26-01-2019,27.5,17.5,0,14.2,90
27-01-2019,27.9,16.9,0,16.4,96
28-01-2019,31.6,20.6,0,17.5,86
29-01-2019,32.3,22.6,0,19.5,71
30-01-2019,32.9,20.5,0,19.5,77
31-01-2019,30.3,19.9,0,20.9,79
01-02-2019,30,20.1,0,21.1,77
02-02-2019,30,19.3,0,21.3,84
03-02-2019,30.9,19.5,0,19.9,89
04-02-2019,31.4,19.9,0,16.9,76
05-02-2019,31.4,20.4,0,20.5,82
06-02-2019,30.7,21.9,0,25.9,79
07-02-2019,30.3,21.8,0,28.6,84
08-02-2019,29,20.9,0,28.9,71
09-02-2019,28.7,16.5,0,20.3,83
10-02-2019,29.7,17.4,0,17.2,87
11-02-2019,30.3,19,0,20,89
12-02-2019,33,22.1,0,21,77
13-02-2019,33.1,22,0,19.7,71
14-02-2019,31.2,21.1,0,18.9,85
15-02-2019,29.7,20.9,0,21.7,93
16-02-2019,30.7,21.2,0,24.8,72
17-02-2019,28.2,19.7,0,17.4,80
18-02-2019,28.1,17.2,0,17.7,93
19-02-2019,28.7,18.8,0,16,96
20-02-2019,29.2,20.4,0,17.3,99
21-02-2019,30.2,21.7,0,20.9,96
22-02-2019,31.8,21.5,0,22.2,95
23-02-2019,32.3,22,0,17.6,92
24-02-2019,30.7,21.7,0,15.8,87
25-02-2019,29.7,21.4,0,17.8,90
26-02-2019,30.5,21.9,0,29.1,80
27-02-2019,29.1,20.4,0,28.5,84
28-02-2019,30.6,19.1,0,24,89
01-03-2019,29.7,19.3,0,18.1,94
02-03-2019,30.2,20.2,0,20.3,87
03-03-2019,29.7,22,0,22.2,92
04-03-2019,29.6,22,0,27.1,90
05-03-2019,29.1,22,0,21,90
06-03-2019,29.1,21.1,0,25.1,90
07-03-2019,29,20.3,0,23.2,87
08-03-2019,31.3,20.3,0,26.9,94
09-03-2019,29.5,19.3,0,16.4,100
10-03-2019,30.3,21.4,0,19,86
11-03-2019,29.9,21.4,0,25,93
12-03-2019,29.2,21.9,0,24.8,91
13-03-2019,30.7,23.7,0,27.7,74
14-03-2019,31.4,21.6,0,27.3,78
15-03-2019,31.4,21.7,0,22,82
16-03-2019,30.5,21.6,0,16.6,83
17-03-2019,30.1,20.7,0,21.9,97
18-03-2019,29.7,20.2,0,22.3,91
19-03-2019,29.5,20.8,0,16.2,91
20-03-2019,29.7,20.7,0,17.9,92
21-03-2019,30.1,20.7,0,23,92
22-03-2019,32.1,22.6,0,26.7,77
23-03-2019,31.6,22.6,0,23.6,88
24-03-2019,30.1,21.2,0,15,99
25-03-2019,30.7,22.2,0,15.9,98
26-03-2019,30.9,24.9,0,18.9,96
27-03-2019,30.7,24.8,1,18,96
28-03-2019,30.8,25.3,0,17.1,97
29-03-2019,30.5,24.6,0,15.1,93
30-03-2019,30.9,23.3,0,15.1,98
31-03-2019,31.1,24.8,0,15,95
01-04-2019,30.8,24.5,0,16.9,93
02-04-2019,31.4,23.4,0,19.9,94
03-04-2019,31.5,23.5,0,21.4,94
04-04-2019,31,23.4,0,15.3,96
05-04-2019,31.2,24.7,0,17.9,94
06-04-2019,31.6,25.9,0,19.8,90
07-04-2019,32.6,25.2,0,22.7,88
08-04-2019,32.1,24.4,0,18.6,95
09-04-2019,31.7,24.9,0,21.1,99
10-04-2019,32.7,23.7,0,23,96
11-04-2019,32.1,24.3,0,22,96
12-04-2019,32.2,24.9,0,19.7,95
13-04-2019,32.3,25.2,0,19,97
14-04-2019,33,25.7,0,19.1,97
15-04-2019,32.3,26.1,0,15.7,96
16-04-2019,32.2,25.4,0,18.7,98
17-04-2019,32.5,25.7,0,26.2,92
18-04-2019,34.4,23.3,0,31.3,78
19-04-2019,32.1,24.6,0,23.5,89
20-04-2019,31.5,24.8,0,20.8,95
21-04-2019,31.9,25,0.1,20.4,90
22-04-2019,33.1,25.1,0,26.2,90
23-04-2019,33.6,25.6,0,25.3,86
24-04-2019,33.6,26.3,0,27.3,80
25-04-2019,33.7,25.6,0,27,84
26-04-2019,32.2,24.8,0,19.9,95
27-04-2019,32,26.4,0,16.7,96
28-04-2019,32.3,27.4,0,19.6,96
29-04-2019,32.4,27.3,0.3,16.3,94
30-04-2019,32,27.3,0,16,93
01-05-2019,31.6,26.6,0.6,20,89
02-05-2019,31.4,25.2,0,20.1,94
03-05-2019,31.2,25.9,0,20.4,91
04-05-2019,32.1,25.1,0.1,19.8,90
05-05-2019,32,25.6,0,25.6,88
06-05-2019,32.4,25.5,0,21.2,89
07-05-2019,31.6,26.8,0,21.3,89
08-05-2019,31.8,27.1,1.1,21.7,90
09-05-2019,31.5,27,0,25.1,81
10-05-2019,32.4,25.3,0,29.7,84
11-05-2019,33.4,26.4,0,27.3,85
12-05-2019,32.2,26.3,0,23.6,87
13-05-2019,32.2,26.4,0,22.2,85
14-05-2019,32.1,26.6,0.3,22.3,87
15-05-2019,32.3,26.5,0,23.4,86
16-05-2019,32.5,26.3,0.1,24.4,85
17-05-2019,32.4,25.8,0,25.1,91
18-05-2019,33.1,26.8,0,28.4,86
19-05-2019,32.9,24.6,0,25.3,95
20-05-2019,32.7,24.7,0,21.6,94
21-05-2019,32.8,26.2,0,19.1,97
22-05-2019,32.6,27.4,0,22.6,94
23-05-2019,32.1,26.9,0,20.9,90
24-05-2019,32.1,27,0,20.2,91
25-05-2019,32.5,27.5,0,27.1,88
26-05-2019,32.4,27.5,0,22.4,92
27-05-2019,32.5,27.1,0.3,23.7,86
28-05-2019,32.5,27.8,0,21.5,86
29-05-2019,32.4,27.2,0,24.5,87
30-05-2019,32.2,26.2,0.2,24.9,92
31-05-2019,31.9,26.9,0.8,22.7,89
01-06-2019,32.5,28,0.1,21.6,84
02-06-2019,32.6,27.7,0,16.9,87
03-06-2019,31.2,27.7,0,15.6,91
04-06-2019,32.6,26.1,0.2,20.8,97
05-06-2019,32.2,27.5,0.5,25.4,91
06-06-2019,32.8,28.2,2.3,26.9,90
07-06-2019,32.4,27.3,0.3,23.4,95
08-06-2019,33.3,27.9,2,21.8,93
09-06-2019,32.2,26.9,4,18.5,92
10-06-2019,33.7,27.2,1.4,32,93
11-06-2019,28.9,26,34.6,33.5,92
12-06-2019,29.2,26.3,44.3,29.5,92
13-06-2019,28.5,26,49.3,25.6,94
14-06-2019,28.3,26.3,20.5,20.5,94
15-06-2019,28.3,25.9,11.8,17.3,94
16-06-2019,29.3,26.2,6.2,16.5,95
17-06-2019,29.1,26.5,4.7,18.8,93
18-06-2019,28,25.8,10.5,15.5,95
19-06-2019,28.2,25.7,12.9,15.8,96
20-06-2019,28.5,26,15.7,17.4,96
21-06-2019,28.4,26,60.5,13.2,96
22-06-2019,28.1,25.5,32,14.7,96
23-06-2019,27.8,24.9,35.1,10,96
24-06-2019,28.1,25.2,25.9,8.6,95
25-06-2019,28,25.9,21.2,15,96
26-06-2019,28.3,25.7,32.8,18.2,95
27-06-2019,27.5,25.6,56.4,21.3,95
28-06-2019,26.4,25.6,70.3,24.6,94
29-06-2019,26.3,25.5,29.5,25.1,95
30-06-2019,26.4,25.5,31,21.6,93
01-07-2019,27.5,25.4,17.1,19.6,95
02-07-2019,27.4,25.5,13,18.7,95
03-07-2019,26.9,25.2,30.9,21.7,94
04-07-2019,27.4,25.6,41.9,23.2,95
05-07-2019,27.6,25.6,30.8,28.2,93
06-07-2019,28.2,25.4,15.9,29.1,94
07-07-2019,28.1,25.7,16.9,28.2,91
08-07-2019,27.5,26,17.8,27.3,93
09-07-2019,27.5,25.7,23.7,26.4,93
10-07-2019,26.9,25.2,38.6,25.5,93
11-07-2019,25.8,23.9,55.3,20.1,96
12-07-2019,26.9,24.6,21.8,18.3,96
13-07-2019,27.6,25.2,14.9,15.3,96
14-07-2019,27.7,25.1,17,17.7,96
15-07-2019,27.2,25.2,19,18.2,96
16-07-2019,26.8,25.1,18.1,16.6,96
17-07-2019,26.8,24.9,15.1,18.2,96
18-07-2019,27.5,25.3,21.3,20.4,95
19-07-2019,27.7,25.3,19.6,18.6,95
20-07-2019,27.7,25.3,25.8,11.9,95
21-07-2019,27.7,25.3,22.4,40.8,95
22-07-2019,27.1,25.5,56.2,26.6,94
23-07-2019,26.7,25.2,73.3,27.5,94
24-07-2019,26.7,25.2,45.9,20.3,94
25-07-2019,26.9,25,18,15.6,95
26-07-2019,26.4,24.6,29.6,18.4,96
27-07-2019,27.9,24.5,15,23.5,95
28-07-2019,26.7,25.1,26.5,24.7,95
29-07-2019,26.6,24.9,30.4,21.4,96
30-07-2019,26.3,25,29,23.5,94
31-07-2019,27.5,25.2,28.9,22.9,93
01-08-2019,27.7,25.2,19.4,23.7,94
02-08-2019,26.3,25.3,37,26.4,94
03-08-2019,26.6,24.9,40.7,26.6,94
04-08-2019,27,25.2,71.5,37.5,93
05-08-2019,26,25.3,100.9,34.7,94
06-08-2019,26.5,25,88.3,28.6,95
07-08-2019,26.8,25.4,84,32.7,94
08-08-2019,27.1,24.8,58.5,34,95
09-08-2019,26.1,24.8,37.1,29.3,94
10-08-2019,27,24.9,35.9,26.9,95
11-08-2019,27.4,24.9,20.5,25.4,94
12-08-2019,27.2,25.3,16.7,21.4,94
13-08-2019,27.1,24.9,20.3,21.6,95
14-08-2019,26.9,24.7,25.2,21.4,94
15-08-2019,26.8,24.6,44.9,18.2,95
16-08-2019,26.9,24.9,21.7,18.8,95
17-08-2019,28,25,6.8,17.3,95
18-08-2019,27.6,25.1,7.9,13.7,96
19-08-2019,27.7,25.1,5.6,14,96
20-08-2019,27.9,25.2,2.5,15.9,95
21-08-2019,28.2,25.3,5,18.2,93
22-08-2019,27.2,24.9,8.5,16.7,95
23-08-2019,27.1,24.7,13.5,17.3,94
24-08-2019,26.7,24.8,16.6,16.7,96
25-08-2019,27.1,25,5.3,14,96
26-08-2019,27.4,24.6,4.6,16.5,96
27-08-2019,27.8,24.8,5.5,18.1,95
28-08-2019,27,24.6,16.4,19.8,96
29-08-2019,27.2,24.9,22.6,17.1,96
30-08-2019,27.3,25.2,22.1,17.3,94
31-08-2019,26.8,25.1,31.1,20.8,96
01-09-2019,25.7,24.8,55.3,20,97
02-09-2019,26.5,24.9,52.5,21.5,94
03-09-2019,25.8,24.8,39.5,22,96
04-09-2019,26.1,24.8,44.6,25.3,95
05-09-2019,26.1,24.9,56.1,28.4,95
06-09-2019,26.9,25.3,32.8,26.5,94
07-09-2019,26.6,25.2,60.8,29.6,95
08-09-2019,27.3,25.2,24.1,29.7,94
09-09-2019,27.7,24.9,14.2,25.7,93
10-09-2019,27.4,25.1,12.7,21.1,94
11-09-2019,27.2,24.9,5.4,17,96
12-09-2019,26.6,24.9,10,15.5,95
13-09-2019,26.6,25,8.1,16.3,96
14-09-2019,27.5,25.1,10.7,17,95
15-09-2019,27.4,25,14.4,19.8,95
16-09-2019,27.8,24.8,5,21.4,94
17-09-2019,28,24.9,1.2,20.8,94
18-09-2019,28.1,25.2,6,19.1,94
19-09-2019,26.4,24.8,23.1,11,96
20-09-2019,28.4,25.2,8.1,16,96
21-09-2019,27.7,25,7.9,16.6,95
22-09-2019,28.5,24.9,2.8,14.5,96
23-09-2019,28.4,24.8,2.2,14.2,99
24-09-2019,28.6,25.3,7.1,14.3,95
25-09-2019,27.9,24.7,18.3,17.3,97
26-09-2019,26.9,24.7,27.5,20.6,94
27-09-2019,27.9,25,12.6,16.9,94
28-09-2019,28,25,4.5,12.5,98
29-09-2019,28.8,25.2,1.3,10.7,97
30-09-2019,30.1,24.3,0,16.9,98
01-10-2019,28.3,24.7,1.6,14.4,97
02-10-2019,29.2,24.7,0.7,14.2,97
03-10-2019,29.9,25.4,1.2,15.2,94
04-10-2019,29.2,25.2,8.2,13.1,99
05-10-2019,29.6,24.5,0.9,11.8,99
06-10-2019,29.2,24.6,24,14.1,96
07-10-2019,28.6,24.2,1.2,12.3,96
08-10-2019,28.7,25.1,3.9,12.2,96
09-10-2019,28.9,24.3,13.6,10.2,95
10-10-2019,30.3,25.3,3.5,11.1,97
11-10-2019,30,25.2,0.3,11.7,98
12-10-2019,29.6,25.4,4.6,12.5,96
13-10-2019,29.5,25,11.6,11.9,95
14-10-2019,30.8,25.6,2.5,16.8,97
15-10-2019,32.1,26,0.8,14.1,97
16-10-2019,31.6,25.3,1.4,15.5,96
17-10-2019,31.4,25.8,0.2,9.9,97
18-10-2019,28.4,24.8,38.9,15.3,96
19-10-2019,29,24.4,30.3,13.7,95
20-10-2019,28.6,25,4.3,12,95
21-10-2019,29.4,25,13.6,22.3,96
22-10-2019,27.1,24.4,22.9,16,96
23-10-2019,26.8,24.7,50.1,21.3,97
24-10-2019,25.6,24.9,107.2,36.8,94
25-10-2019,27.2,24.8,50.1,41.5,93
26-10-2019,26.3,24.7,36.8,35.4,94
27-10-2019,28,24.1,12.4,26.8,94
28-10-2019,30.1,24.6,0.1,12.7,94
29-10-2019,30.8,24.6,0.1,17,94
30-10-2019,32.5,24.2,1.2,10.6,96
31-10-2019,31.7,25.7,14.3,19.7,88
01-11-2019,28.2,25.2,3.5,33,89
02-11-2019,29,24.6,1.3,23,96
03-11-2019,29.3,23.8,0,12.1,96
04-11-2019,30.7,24.4,0.6,17.5,94
05-11-2019,30.4,25,1.2,15.6,96
06-11-2019,30.4,24.9,1.9,14,97
07-11-2019,28.6,24.8,3.1,18.4,97
08-11-2019,28.9,23.7,0,14.5,94
09-11-2019,29.3,22.5,0,18.8,98
10-11-2019,29.7,23,0,18.7,94
11-11-2019,30.8,23,0,15.9,99
12-11-2019,33,23,0,12.5,95
13-11-2019,32.5,23.4,0,17.3,96
14-11-2019,32.6,23.7,0,16.2,84
15-11-2019,31.7,24.7,0,17.6,89
16-11-2019,31.6,25.5,1.6,14.1,95
17-11-2019,31.7,24.7,0,12.9,94
18-11-2019,33.9,24.4,0,17.7,86
19-11-2019,33.7,25.6,0,15.6,90
20-11-2019,32.7,25.8,0,15.9,87
21-11-2019,33.8,26.1,0,16.5,86
22-11-2019,34,25.3,0,18.9,83
23-11-2019,34.2,23.6,0,16.1,84
24-11-2019,33.1,22.3,0,16.6,80
25-11-2019,34.3,23.2,0,19.4,79
26-11-2019,35.3,25.1,0,18.7,70
27-11-2019,33.5,24.2,0,17.2,71
28-11-2019,34.1,24.7,0,16.5,77
29-11-2019,33,26.2,0,18.7,75
30-11-2019,34,24.6,0,19.8,80
01-12-2019,34,24.8,0.6,13.5,74
02-12-2019,32.6,25.7,5.1,15.6,89
03-12-2019,30.6,25.7,1.6,21.3,82
04-12-2019,32.9,25.2,0.9,17.8,82
05-12-2019,34.5,25.6,0,24.5,69
06-12-2019,34,23.7,0,16.6,75
07-12-2019,32.4,24.1,0,17.7,73
08-12-2019,33.1,24.5,0,15.5,85
09-12-2019,32.6,23.8,0,16.6,88
10-12-2019,32.7,24.2,0,17.1,83
11-12-2019,31.5,22.7,0,17.8,79
12-12-2019,31.6,22,0,20.3,85
13-12-2019,31.3,22.4,0,23,85
14-12-2019,32.7,22.3,0,19.9,88
15-12-2019,31,22.3,0,14.8,88
16-12-2019,33,22.4,0,18.5,90
17-12-2019,34.4,22.2,0,17.1,81
18-12-2019,33.6,23.3,0,17.7,79
19-12-2019,34.1,24.3,0,20.8,77
20-12-2019,33.6,23.2,0,15.6,77
21-12-2019,33.8,22.8,0,16.2,80
22-12-2019,32.9,24,0,15.3,82
23-12-2019,32.7,23.8,0,15.9,87
24-12-2019,31.3,24,0,15.7,88
25-12-2019,32.3,24.1,0,16.4,87
26-12-2019,31.6,24.2,0,13.7,94
27-12-2019,31.5,23.9,0,15.1,96
28-12-2019,33.8,24.1,0,16.2,89
29-12-2019,32.3,25.8,0,14,89
30-12-2019,31.2,24,0,13.7,94
31-12-2019,30.5,21.7,0,19.6,91
01-01-2020,29.8,21,0,18.1,90
02-01-2020,30.1,21.3,0,22.5,92
03-01-2020,30.7,22,0,24.2,85
04-01-2020,28.6,20.5,0,19.1,82
05-01-2020,28.4,18.1,0,15.5,94
06-01-2020,31.7,20.2,0,16.9,89
07-01-2020,31.2,23.8,0,17,84
08-01-2020,30,24.2,0,22.5,87
09-01-2020,30.1,22.9,0,22.4,87
10-01-2020,31.1,21.1,0,16.2,91
11-01-2020,32.2,22.2,0,16.1,91
12-01-2020,31.1,20.8,0,20.2,90
13-01-2020,30.8,21.8,0,21.3,87
14-01-2020,30,22.4,0,24.7,90
15-01-2020,30.1,21.6,0,23.2,90
16-01-2020,29.7,21.5,0,26.8,75
17-01-2020,28.1,19.6,0,24.2,76
18-01-2020,29.2,18.8,0,21.8,74
19-01-2020,30.4,20.7,0,15.9,91
20-01-2020,32.3,21.8,0,18.4,90
21-01-2020,32,23,0,20.2,85
22-01-2020,34.3,21.6,0,18.6,85
23-01-2020,35.3,20.7,0,21.1,76
24-01-2020,34.6,21,0,19.1,82
25-01-2020,31.8,20.1,0,16.2,84
26-01-2020,31,19.7,0,19.5,91
27-01-2020,29.2,21.4,0,15.5,97
28-01-2020,29.1,22.8,0,20.3,92
29-01-2020,29.5,22.2,0,23.3,85
30-01-2020,29.3,19.7,0,21.3,83
31-01-2020,28.5,19.5,0,20.6,94
01-02-2020,28.7,19.8,0,15.9,91
02-02-2020,29.1,19,0,18.8,93
03-02-2020,30.5,22.4,0,22.6,87
04-02-2020,30.6,22.4,0,23.1,87
05-02-2020,30.5,20.8,0,21.3,94
06-02-2020,29.8,21.4,0,19.5,86
07-02-2020,28.3,20.5,0,19,86
08-02-2020,27.7,18.9,0,15.3,87
09-02-2020,28.6,18.2,0,20.5,91
10-02-2020,30.3,20.6,0,18.1,87
11-02-2020,32.1,21.3,0,17.7,91
12-02-2020,34.6,23.1,0,17.6,70
13-02-2020,33.4,21,0,20.5,82
14-02-2020,33.4,21.7,0,18.8,78
15-02-2020,31.6,20.8,0,22.7,88
16-02-2020,33.1,22.1,0,19.1,74
17-02-2020,33,21.1,0,19.7,85
18-02-2020,34.1,21.2,0,21,79
19-02-2020,31.5,20.7,0,18.7,90
20-02-2020,33,21.3,0,21.9,95
21-02-2020,33,21.8,0,19,93
22-02-2020,35,21.5,0,21.2,76
23-02-2020,33.3,20.3,0,19.7,76
24-02-2020,33.1,21.1,0,18.7,88
25-02-2020,30.8,21.4,0,18.5,95
26-02-2020,35,21.8,0,22.7,96
27-02-2020,35.1,22.9,0,17.5,87
28-02-2020,33.5,23,0,17.6,93
29-02-2020,31.5,24.2,0,15.7,88
01-03-2020,31.3,24,0,15.2,84
02-03-2020,31.2,23.9,0,14.7,91
03-03-2020,32.3,24.5,0,29.2,72
04-03-2020,31.7,24,0,25.7,69
05-03-2020,29.4,21.4,0,17.7,87
06-03-2020,29.4,22.5,0.1,16.5,85
07-03-2020,30.3,22.3,0,19.4,79
08-03-2020,31.1,23.8,0,19,70
09-03-2020,31.3,22.4,0,21.6,81
10-03-2020,31.4,23.3,0,24.9,77
11-03-2020,31.1,23.8,0,23.7,77
12-03-2020,31.1,22.2,0,28.7,81
13-03-2020,30.5,23,0,25.6,74
14-03-2020,31.2,21.7,0,26.6,74
15-03-2020,30.9,21.9,0,20.2,73
16-03-2020,30.8,23.2,0,16.3,81
17-03-2020,31.8,23.2,0,16.4,94
18-03-2020,31.7,25.5,0,15.1,96
19-03-2020,33.1,24.6,0,24.9,71
20-03-2020,33.3,24.8,0,27.7,81
21-03-2020,31.4,22.3,0,27.8,88
22-03-2020,31.3,22.5,0,16.9,89
23-03-2020,30.6,22.9,0,17.3,98
24-03-2020,30.8,24.1,0,17.4,97
25-03-2020,30.9,25.1,0.2,18.6,93
26-03-2020,31.7,25.5,0.3,19.9,95
27-03-2020,33.4,26.3,0,22.2,93
28-03-2020,31.9,24.8,0,19.6,98
29-03-2020,32,24.7,0,20.6,95
30-03-2020,31.8,25.2,0,17.4,96
31-03-2020,32.1,24.3,0,20.5,96
01-04-2020,32.7,24,0,21.7,96
02-04-2020,31.9,23.9,0,24.2,92
03-04-2020,32,24.8,0,17.7,97
04-04-2020,31.8,25.4,0,16.6,91
05-04-2020,31.9,26.5,0,16.6,94
06-04-2020,32,27.1,0,19.8,91
07-04-2020,31.5,25.2,0,20.5,95
08-04-2020,31.6,24.6,0,22.9,94
09-04-2020,32.4,23.8,0,26.9,92
10-04-2020,31.8,23.7,0,15.7,89
11-04-2020,32.6,25.3,0,18.4,94
12-04-2020,32.4,25,0,16.6,99
13-04-2020,32.3,25.2,0,16.8,98
14-04-2020,33.1,25.8,0,18.1,97
15-04-2020,32.5,26.2,0.6,17.2,95
16-04-2020,31.8,26.6,0.8,17.2,95
17-04-2020,32.3,27.7,0,20.5,92
18-04-2020,32.8,26.7,0.1,21.4,92
19-04-2020,32.9,27,0,19.3,92
20-04-2020,33.1,26.4,0,20,99
21-04-2020,32.9,27.6,0,17,96
22-04-2020,32.7,26.1,0,18.2,93
23-04-2020,33.2,26.4,0,21.2,94
24-04-2020,32.4,27,0,19.7,95
25-04-2020,32.5,27.6,1.1,19.5,90
26-04-2020,33.1,25.4,0,26.9,94
27-04-2020,33.9,26.2,0,28.8,91
28-04-2020,32.3,25.7,0,22.8,89
29-04-2020,32.3,26.8,0.5,14.9,91
30-04-2020,32.9,26.6,0,20.9,95
01-05-2020,32.8,28.1,0.3,22.6,90
02-05-2020,33,27.6,0,24.5,91
03-05-2020,33.4,28.1,0,24.9,87
04-05-2020,32.7,27.8,0,23.1,88
05-05-2020,33.5,26.9,0,28.7,92
06-05-2020,33.2,27.2,0,22.5,94
07-05-2020,32.8,27.9,0.1,20.4,95
08-05-2020,32.7,26.5,0,20.5,95
09-05-2020,33.2,26.9,0,22.1,90
10-05-2020,33.1,27.8,0,19.4,84
11-05-2020,33.6,27.8,0,19.3,88
12-05-2020,34.1,27.9,0,21.9,86
13-05-2020,34.3,28,0,25.9,88
14-05-2020,33.2,27.1,2.8,22.5,90
15-05-2020,32.8,26.3,1,24.2,94
16-05-2020,31,26.8,9.9,16.1,92
17-05-2020,32.6,27.3,0,27.4,92
18-05-2020,32.3,28.8,0.5,34.4,83
19-05-2020,31.6,28.5,2,26.8,84
20-05-2020,31.8,27.6,0.5,19.5,88
21-05-2020,32,27.3,0.2,18.1,88
22-05-2020,32.2,27,0,21.1,88
23-05-2020,32.3,27.2,0,21,89
24-05-2020,32.4,28,0.2,21.5,89
25-05-2020,32.8,28.6,0,22.4,84
26-05-2020,32.8,28.6,0.2,20.2,89
27-05-2020,32.4,28.4,0,22.8,86
28-05-2020,32.7,28.1,0.2,24.1,82
29-05-2020,32.7,28,0.7,21.6,85
30-05-2020,34,27.5,0,24.1,90
31-05-2020,29.7,27,5.8,18.4,95
01-06-2020,28.9,25.9,35,22.8,96
02-06-2020,27.7,26.2,69.1,38.2,94
03-06-2020,26.8,26,117.7,34.9,94
04-06-2020,27.7,25.7,11.6,21.5,93
05-06-2020,28.5,25.3,5.9,14.9,95
06-06-2020,28.9,25.8,5,14.8,96
07-06-2020,28.5,25.1,5.8,19.1,94
08-06-2020,28.5,25.6,5.6,15.5,94
09-06-2020,28.7,25.9,3.6,14.8,96
10-06-2020,29,25.9,8.4,17.2,96
11-06-2020,27.8,25.5,26.5,14.1,96
12-06-2020,26.4,25.3,108.4,22.3,95
13-06-2020,27.9,25.7,46,23.3,95
14-06-2020,28,25.7,35.4,20.1,94
15-06-2020,28.1,26.2,26.3,20.2,95
16-06-2020,27.4,26,59.2,21.3,95
17-06-2020,26.7,25.6,40.9,23.2,94
18-06-2020,27.1,25.9,24.7,20.9,93
19-06-2020,28.1,25.8,19,15.5,95
20-06-2020,28.3,25.8,7.5,11.3,95
21-06-2020,27.5,25.8,10.4,14.3,96
22-06-2020,27.6,25.6,13.6,14.6,96
23-06-2020,28.6,25.3,13.7,16.1,95
24-06-2020,28,25.6,18.1,16.8,95
25-06-2020,28.9,25.4,12,15.9,96
26-06-2020,29,25.8,6.1,16.8,96
27-06-2020,28.8,25.6,12.1,18.8,95
28-06-2020,28.4,25.7,15.2,14.2,96
29-06-2020,27.8,25.4,21.2,14.4,97
30-06-2020,26.8,25.8,55,19.5,95
01-07-2020,27.3,25.4,46.9,17.2,95
02-07-2020,27.2,25.2,70.5,23,96
03-07-2020,27,25.6,106.7,30.6,95
04-07-2020,27.2,25.6,67.6,25.3,95
05-07-2020,27.6,25.7,12.3,23,95
06-07-2020,28.9,25.6,13.5,24.9,91
07-07-2020,27.3,25.6,60.9,27.4,93
08-07-2020,27.6,25.6,41.1,22,93
09-07-2020,27.4,25.3,40.8,16.3,94
10-07-2020,26.9,25.4,28.2,16.1,94
11-07-2020,26.8,24,30.3,13.1,97
12-07-2020,27.8,25.1,28.2,18.1,95
13-07-2020,26.8,25.1,59.8,21.8,95
14-07-2020,26.3,25,76.4,26.6,96
15-07-2020,25.9,25.3,64.3,23.6,95
16-07-2020,26.2,25.2,48.4,25.8,94
17-07-2020,26.6,25.3,55.7,24.7,94
18-07-2020,27.5,25.3,29,18.8,94
19-07-2020,28.1,25.3,11.4,14.9,97
20-07-2020,27.5,25.2,12,13.4,95
21-07-2020,28.4,25.1,7.7,21.6,96
22-07-2020,28.6,25.7,2.4,15.9,95
23-07-2020,28.3,25.5,2.9,8.9,98
24-07-2020,27.4,25.4,17.8,12.1,96
25-07-2020,28.8,25.4,10.9,25.3,93
26-07-2020,26.5,24.9,114.8,24.5,95
27-07-2020,27.5,24.8,6.8,13.1,96
28-07-2020,28.2,25,14,16.6,96
29-07-2020,27.8,24.8,17.6,19.6,97
30-07-2020,27.8,25.1,11.1,14.1,95
31-07-2020,27.1,24.8,22.8,18.8,96
01-08-2020,27,25.2,27.2,20,96
02-08-2020,27.2,25.2,48.2,28.2,95
03-08-2020,26.2,25.2,70.9,29.1,95
04-08-2020,27.3,25.4,62.9,36.8,93
05-08-2020,27.1,25.6,66.9,45.6,93
06-08-2020,27.7,25.6,24.3,36.9,92
07-08-2020,27.4,25.3,26.8,27.2,94
08-08-2020,27,25,30.4,22.5,93
09-08-2020,26.6,25.2,13.9,19.9,94
10-08-2020,25.7,24.6,60.6,17.7,94
11-08-2020,25.9,24.8,40.8,18.3,94
12-08-2020,26.6,24.8,18.6,19.1,94
13-08-2020,27.6,25.4,10.8,19.5,94
14-08-2020,28.1,25.6,12.7,24.5,90
15-08-2020,27,25,37,27.9,94
16-08-2020,26.4,25.1,84.6,26.3,94
17-08-2020,25.9,25.1,30.1,20.1,94
18-08-2020,26.3,25.1,25.3,19,95
19-08-2020,28.5,24.8,10.9,25,95
20-08-2020,26.8,25.2,24.1,21.1,95
21-08-2020,26.2,25.1,51.5,20.1,95
